order_id,supplier_id,item_id,order_date,delivery_date,delay_days,is_delayed
1001,S001,I001,2024-07-01,2024-07-03,392,1
1002,S002,I002,2024-07-02,2024-07-08,387,1
1003,S001,I003,2024-07-03,2024-07-06,389,1
1004,S003,I004,2024-07-05,2024-07-10,385,1
1005,S002,I005,2024-07-06,2024-07-09,386,1
1006,S003,I001,2024-07-07,2024-07-12,383,1
1007,S001,I002,2024-07-09,2024-07-14,381,1
1008,S002,I003,2024-07-11,2024-07-20,375,1
1009,S003,I004,2024-07-13,2024-07-15,380,1
1010,S001,I005,2024-07-14,2024-07-17,378,1
1011,S002,I001,2024-07-15,2024-07-20,375,1
1012,S003,I002,2024-07-16,2024-07-18,377,1
1013,S001,I003,2024-07-17,2024-07-24,371,1
1014,S002,I004,2024-07-18,2024-07-21,374,1
1015,S003,I005,2024-07-19,2024-07-25,370,1
1016,S001,I001,2024-07-20,2024-07-22,373,1
1017,S002,I002,2024-07-21,2024-07-28,367,1
1018,S003,I003,2024-07-22,2024-07-24,371,1
1019,S001,I004,2024-07-23,2024-07-27,368,1
1020,S002,I005,2024-07-24,2024-07-26,369,1
